src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,avg_packet_size
192.168.118.134,185.199.110.154,48396,443,TCP,10,0.271476,266.5
192.168.118.134,185.199.110.154,48400,443,TCP,11,0.272202,247.18
192.168.118.134,185.199.110.154,48410,443,TCP,473,182.393606,76.96
185.199.110.154,192.168.118.134,443,48368,TCP,11,0.220058,738.45
185.199.110.154,192.168.118.134,443,48380,TCP,11,0.203797,738.45
185.199.110.154,192.168.118.134,443,48410,TCP,791,182.325871,3620.3
185.199.110.154,192.168.118.134,443,48400,TCP,11,0.204404,738.45
185.199.110.154,192.168.118.134,443,48366,TCP,11,0.204189,738.45
185.199.110.154,192.168.118.134,443,48396,TCP,10,0.203202,806.9
192.168.118.134,192.168.118.2,57630,53,UDP,1,0,80.0
192.168.118.134,192.168.118.2,36753,53,UDP,2,0.000121,80.0
192.168.118.2,192.168.118.134,53,36753,UDP,2,0.023212,264.0
192.168.118.2,192.168.118.134,53,57630,UDP,1,0,142.0
192.168.118.134,192.168.118.2,38722,53,UDP,2,0.000073,89.0
192.168.118.2,192.168.118.134,53,38722,UDP,2,0.000000,233.0
192.168.118.134,52.84.205.64,58376,443,TCP,206,329.651801,73.73
52.84.205.64,192.168.118.134,443,58376,TCP,363,329.570330,3468.39
192.168.118.134,192.168.118.2,55890,53,UDP,1,0,80.0
192.168.118.134,192.168.118.2,55021,53,UDP,2,0.000069,80.0
192.168.118.2,192.168.118.134,53,55890,UDP,1,0,197.0
192.168.118.2,192.168.118.134,53,55021,UDP,2,0.000001,135.0
192.168.118.134,140.82.114.22,53626,443,TCP,46,129.394397,577.91
192.168.118.134,140.82.114.22,53630,443,TCP,10,1.932226,266.2
192.168.118.134,140.82.114.22,53640,443,TCP,11,1.682271,246.91
140.82.114.22,192.168.118.134,443,53626,TCP,54,129.065266,236.81
140.82.114.22,192.168.118.134,443,53630,TCP,11,1.538560,592.45
140.82.114.22,192.168.118.134,443,53640,TCP,12,1.363161,547.58
192.168.118.134,140.82.114.22,53644,443,TCP,2,0.307306,64.0
192.168.118.134,192.168.118.2,55018,53,UDP,3,293.294007,76.0
192.168.118.134,192.168.118.2,49269,53,UDP,2,0.000002,74.0
192.168.118.2,192.168.118.134,53,49269,UDP,2,0.012797,96.0
192.168.118.2,192.168.118.134,53,55018,UDP,3,293.275776,112.33
192.168.118.134,20.207.73.85,54926,443,TCP,30,37.822089,228.4
192.168.118.134,20.207.73.85,54938,443,TCP,10,0.575718,265.6
192.168.118.134,140.82.114.22,53660,443,TCP,2,0.306751,64.0
20.207.73.85,192.168.118.134,443,54926,TCP,30,37.749525,304.03
20.207.73.85,192.168.118.134,443,54938,TCP,10,0.471800,392.5
140.82.114.22,192.168.118.134,443,53644,TCP,1,0,60.0
140.82.114.22,192.168.118.134,443,53660,TCP,1,0,60.0
192.168.118.134,192.168.118.2,53420,53,UDP,2,0.000094,85.0
192.168.118.2,192.168.118.134,53,53420,UDP,2,0.000001,107.0
192.168.118.134,34.107.243.93,46786,443,TCP,16,170.624467,195.12
34.107.243.93,192.168.118.134,443,46786,TCP,17,170.560544,282.12
192.168.118.134,192.168.118.2,46910,53,UDP,1,0,83.0
192.168.118.134,192.168.118.2,37834,53,UDP,2,0.000103,83.0
192.168.118.2,192.168.118.134,53,37834,UDP,2,0.000001,171.0
192.168.118.2,192.168.118.134,53,46910,UDP,1,0,148.0
192.168.118.134,185.199.109.154,54036,443,TCP,15,170.416482,204.4
185.199.109.154,192.168.118.134,443,54036,TCP,16,170.340208,535.0
192.168.118.134,34.107.243.93,46796,443,TCP,14,380.374860,209.36
34.107.243.93,192.168.118.134,443,46796,TCP,14,380.300006,150.0
192.168.118.134,34.107.243.93,59330,443,UDP,6,0.146190,512.17
34.107.243.93,192.168.118.134,443,59330,UDP,7,0.079298,908.14
192.168.118.134,192.168.118.2,60525,53,UDP,2,0.000085,104.0
192.168.118.2,192.168.118.134,53,60525,UDP,2,0.004151,159.0
192.168.118.134,151.101.157.91,57482,443,TCP,10,0.408801,102.9
192.168.118.134,151.101.157.91,57492,443,TCP,138,172.193393,61.31
151.101.157.91,192.168.118.134,443,57492,TCP,220,172.126652,4874.86
151.101.157.91,192.168.118.134,443,57482,TCP,11,0.341846,371.55
192.168.118.134,192.168.118.2,54262,53,UDP,1,0,93.0
192.168.118.134,192.168.118.2,33344,53,UDP,2,0.000050,93.0
192.168.118.2,192.168.118.134,53,54262,UDP,1,0,269.0
192.168.118.2,192.168.118.134,53,33344,UDP,2,0.000001,220.0
192.168.118.134,20.189.173.15,50292,443,TCP,15,118.393413,232.8
192.168.118.134,20.189.173.15,50298,443,TCP,22,120.404816,423.77
192.168.118.134,20.189.173.15,50302,443,TCP,9,1.303260,293.0
20.189.173.15,192.168.118.134,443,50298,TCP,26,130.836750,347.54
20.189.173.15,192.168.118.134,443,50292,TCP,17,126.792581,469.29
20.189.173.15,192.168.118.134,443,50302,TCP,10,1.062143,711.9
192.168.118.134,192.168.118.2,48708,53,UDP,1,0,80.0
192.168.118.134,192.168.118.2,49265,53,UDP,2,0.000065,80.0
192.168.118.2,192.168.118.134,53,48708,UDP,1,0,161.0
192.168.118.2,192.168.118.134,53,49265,UDP,2,0.000000,168.0
192.168.118.134,99.86.182.95,38012,443,TCP,11,0.378922,246.91
192.168.118.134,99.86.182.95,38026,443,TCP,184,172.514425,69.32
99.86.182.95,192.168.118.134,443,38012,TCP,12,0.284077,574.75
99.86.182.95,192.168.118.134,443,38026,TCP,318,172.419770,3827.7
192.168.118.134,192.168.118.2,46236,53,UDP,1,0,70.0
192.168.118.134,192.168.118.2,56685,53,UDP,2,0.000090,70.0
192.168.118.2,192.168.118.134,53,46236,UDP,1,0,95.0
192.168.118.2,192.168.118.134,53,56685,UDP,2,0.001816,92.0
192.168.118.134,142.251.43.110,59274,443,UDP,11,0.805449,446.82
192.168.118.134,142.251.43.110,36134,443,TCP,16,115.846989,191.75
142.251.43.110,192.168.118.134,443,59274,UDP,19,0.823335,698.53
142.251.43.110,192.168.118.134,443,36134,TCP,16,115.745003,588.56
192.168.118.134,192.168.118.2,58405,53,UDP,2,0.000171,70.0
192.168.118.2,192.168.118.134,53,58405,UDP,2,0.000001,127.0
192.168.118.134,142.250.183.3,35190,80,TCP,31,109.105804,178.77
142.250.183.3,192.168.118.134,80,35190,TCP,30,108.988867,388.97
192.168.118.134,142.250.183.3,35192,80,TCP,28,123.721522,146.29
142.250.183.3,192.168.118.134,80,35192,TCP,26,123.619961,313.0
192.168.118.134,192.168.118.2,56613,53,UDP,1,0,74.0
192.168.118.134,192.168.118.2,38752,53,UDP,2,0.000095,74.0
192.168.118.2,192.168.118.134,53,38752,UDP,2,0.003067,96.0
192.168.118.2,192.168.118.134,53,56613,UDP,1,0,99.0
192.168.118.134,142.250.193.68,51584,443,UDP,256,13.228808,607.0
192.168.118.134,142.250.193.68,53262,443,TCP,17,166.284092,186.18
142.250.193.68,192.168.118.134,443,51584,UDP,1523,13.257286,1160.54
142.250.193.68,192.168.118.134,443,53262,TCP,17,166.175580,410.35
192.168.118.134,192.168.118.2,36198,53,UDP,1,0,77.0
192.168.118.134,192.168.118.2,47074,53,UDP,2,0.000085,77.0
192.168.118.134,192.168.118.2,55208,53,UDP,1,0,78.0
192.168.118.134,192.168.118.2,44032,53,UDP,2,0.000068,78.0
192.168.118.2,192.168.118.134,53,47074,UDP,2,0.004934,99.0
192.168.118.2,192.168.118.134,53,36198,UDP,1,0,102.0
