src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,total_bytes,avg_packet_size,min_iat,max_iat,mean_iat,std_iat,bytes_per_second,packets_per_second,avg_bytes_per_packet,dns_query_length,dns_subdomain_depth,dns_entropy,flag_high_packet,flag_long_duration,flag_high_dns_entropy,flag_deep_dns,suspicion_score,ml_anomaly_score,ml_score_normalized,rule_score_normalized,final_threat_score,severity
192.168.118.2,192.168.118.134,53,48230,UDP,2,0.020221,350,175.0,0.020221,0.020221,0.020221,0.0,17308.74,98.91,175.0,27,3,3.782,False,False,True,False,1,0.0200425383340512,0.5583738047200877,0.5,0.5233495218880351,MEDIUM
192.168.118.134,192.168.118.2,59953,53,UDP,2,0.000127,168,84.0,0.000127,0.000127,0.000127,0.0,1324517.05,15768.06,84.0,24,3,3.637,False,False,False,False,0,0.1154127175226958,0.8037558235395204,0.0,0.3215023294158081,MEDIUM
192.168.118.134,151.101.65.91,48364,443,TCP,19,171.736141,1988,104.63,6.6e-05,58.858148,9.540897,21.204043,11.58,0.11,104.63,0,0,0.0,False,False,False,False,0,0.0179907706851276,0.5530947238572385,0.0,0.2212378895428954,LOW
192.168.118.2,192.168.118.134,53,59953,UDP,2,0.001179,352,176.0,0.001179,0.001179,0.001179,0.0,298563.2,1696.38,176.0,24,3,3.637,False,False,False,False,0,0.0720007323615852,0.6920592675466704,0.0,0.2768237070186681,LOW
192.168.118.134,34.49.51.44,57908,443,TCP,18,170.71466,3522,195.67,4.3e-05,58.878069,10.042039,21.628628,20.63,0.11,195.67,0,0,0.0,False,False,False,False,0,0.0287021050715993,0.5806543748756501,0.0,0.23226174995026,LOW
151.101.157.91,192.168.118.134,443,42234,TCP,10,0.32631,841,84.1,1e-06,0.185695,0.036257,0.059881,2577.3,30.65,84.1,0,0,0.0,False,False,False,False,0,0.1759857733767635,0.9596068333413676,0.0,0.383842733336547,MEDIUM
151.101.65.91,192.168.118.134,443,48364,TCP,20,171.665645,10186,509.3,1e-06,58.904536,9.035034,20.756836,59.34,0.12,509.3,0,0,0.0,False,False,False,False,0,0.0212193255831456,0.56140161103607,0.0,0.224560644414428,LOW
34.49.51.44,192.168.118.134,443,57908,TCP,20,170.6354,5367,268.35,0.0,58.920217,8.980811,20.697748,31.45,0.12,268.35,0,0,0.0,False,False,False,False,0,0.0321152123726496,0.5894361048367781,0.0,0.2357744419347112,LOW
192.168.118.134,192.168.118.2,37631,53,UDP,1,0.0,104,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,44,3,4.038,False,False,True,False,1,0.0636671352856955,0.6706173986951435,0.5,0.5682469594780574,MEDIUM
192.168.118.134,192.168.118.2,38167,53,UDP,2,0.000124,208,104.0,0.000124,0.000124,0.000124,0.0,1677721.6,16131.94,104.0,44,3,4.038,False,False,True,False,1,0.0577467371855546,0.6553845528476621,0.5,0.5621538211390649,MEDIUM
192.168.118.2,192.168.118.134,53,38167,UDP,2,0.004587,318,159.0,0.004587,0.004587,0.004587,0.0,69327.34,436.02,159.0,44,3,4.038,False,False,True,False,1,0.0188010487842715,0.5551795230834181,0.5,0.5220718092333673,MEDIUM
192.168.118.2,192.168.118.134,53,37631,UDP,1,0.0,198,198.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,44,3,4.038,False,False,True,False,1,0.0430137049432998,0.6174773031634051,0.5,0.5469909212653621,MEDIUM
192.168.118.134,151.101.157.91,42236,443,TCP,10,0.37797,2686,268.6,3.2e-05,0.155861,0.041997,0.057302,7106.38,26.46,268.6,0,0,0.0,False,False,False,False,0,0.1904734783798495,0.9968828700643952,0.0,0.3987531480257581,MEDIUM
192.168.118.134,151.101.157.91,42242,443,TCP,19,171.373301,4236,222.95,3e-05,58.85765,9.520739,21.198144,24.72,0.11,222.95,0,0,0.0,False,False,False,False,0,0.0274695823239174,0.5774831643081537,0.0,0.2309932657232615,LOW
